"id","code","name"
classification_3091,"3091","Fabricación de motocicletas"
classification_3092,"3092","Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad"
classification_3099,"3099","Fabricación de otros tipos de equipo de transporte n.c.p."
classification_3110,"3110","Fabricación de muebles"
classification_3120,"3120","Fabricación de colchones y somieres"
classification_3210,"3210","Fabricación de joyas, bisutería y artículos conexos"
classification_3220,"3220","Fabricación de instrumentos musicales"
classification_3230,"3230","Fabricación de artículos y equipo para la práctica del deporte"
classification_3240,"3240","Fabricación de juegos, juguetes y rompecabezas"
classification_3250,"3250","Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)"
classification_3290,"3290","Otras industrias manufactureras n.c.p."
classification_3311,"3311","Mantenimiento y reparación especializado de productos elaborados en metal"
classification_3312,"3312","Mantenimiento y reparación especializado de maquinaria y equipo"
classification_3313,"3313","Mantenimiento y reparación especializado de equipo electrónico y óptico"
classification_3314,"3314","Mantenimiento y reparación especializado de equipo eléctrico"
classification_3315,"3315","Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas"
classification_3319,"3319","Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p."
classification_3320,"3320","Instalación especializada de maquinaria y equipo industrial"
classification_3511,"3511","Generación de energía eléctrica"
classification_3512,"3512","Transmisión de energía eléctrica"
classification_3513,"3513","Distribución de energía eléctrica"
classification_3514,"3514","Comercialización de energía eléctrica"
classification_3520,"3520","Producción de gas; distribución de combustibles gaseosos por tuberías"
classification_3530,"3530","Suministro de vapor y aire acondicionado"
classification_3600,"3600","Captación, tratamiento y distribución de agua"
classification_3700,"3700","Evacuación y tratamiento de aguas residuales"
classification_3811,"3811","Recolección de desechos no peligrosos"
classification_3812,"3812","Recolección de desechos peligrosos"
classification_3821,"3821","Tratamiento y disposición de desechos no peligrosos"
classification_3822,"3822","Tratamiento y disposición de desechos peligrosos"
classification_3830,"3830","Recuperación de materiales"
classification_3900,"3900","Actividades de saneamiento ambiental y otros servicios de gestión de desechos"
classification_4111,"4111","Construcción de edificios residenciales"
classification_4112,"4112","Construcción de edificios no residenciales"
classification_4210,"4210","Construcción de carreteras y vías de ferrocarril"
classification_4220,"4220","Construcción de proyectos de servicio público"
classification_4290,"4290","Construcción de otras obras de ingeniería civil"
classification_4311,"4311","Demolición"
classification_4312,"4312","Preparación del terreno"
classification_4321,"4321","Instalaciones eléctricas"
classification_4322,"4322","Instalaciones de fontanería, calefacción y aire acondicionado"
classification_4329,"4329","Otras instalaciones especializadas"
classification_4330,"4330","Terminación y acabado de edificios y obras de ingeniería civil"
classification_4390,"4390","Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil"
classification_4511,"4511","Comercio de vehículos automotores nuevos"
classification_4512,"4512","Comercio de vehículos automotores usados"
classification_4520,"4520","Mantenimiento y reparación de vehículos automotores"
classification_4530,"4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
classification_4541,"4541","Comercio de motocicletas y de sus partes, piezas y accesorios"
classification_4542,"4542","Mantenimiento y reparación de motocicletas y de sus partes y piezas"
classification_4610,"4610","Comercio al por mayor a cambio de una retribución o por contrata"
classification_4620,"4620","Comercio al por mayor de materias primas agropecuarias; animales vivos"
classification_4631,"4631","Comercio al por mayor de productos alimenticios"
classification_4632,"4632","Comercio al por mayor de bebidas y tabaco"
classification_4641,"4641","Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico"
classification_4642,"4642","Comercio al por mayor de prendas de vestir"
classification_4643,"4643","Comercio al por mayor de calzado"
classification_4644,"4644","Comercio al por mayor de aparatos y equipo de uso doméstico"
classification_4645,"4645","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
classification_4649,"4649","Comercio al por mayor de otros utensilios domésticos n.c.p."
classification_4651,"4651","Comercio al por mayor de computadores, equipo periférico y programas de informática"
classification_4652,"4652","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
classification_4653,"4653","Comercio al por mayor de maquinaria y equipo agropecuarios"
classification_4659,"4659","Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p."
classification_4661,"4661","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
classification_4662,"4662","Comercio al por mayor de metales y productos metalíferos"
classification_4663,"4663","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
classification_4664,"4664","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
classification_4665,"4665","Comercio al por mayor de desperdicios, desechos y chatarra"
classification_4669,"4669","Comercio al por mayor de otros productos n.c.p."
classification_4690,"4690","Comercio al por mayor no especializado"
classification_4711,"4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
classification_4719,"4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco"
classification_4721,"4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
classification_4722,"4722","Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados"
classification_4723,"4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
classification_4724,"4724","Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados"
classification_4729,"4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
classification_4731,"4731","Comercio al por menor de combustible para automotores"
classification_4732,"4732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores"
classification_4741,"4741","Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados"
classification_4742,"4742","Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados"
classification_4751,"4751","Comercio al por menor de productos textiles en establecimientos especializados"
classification_4752,"4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados"
classification_4753,"4753","Comercio al por menor de tapices, alfombras y cubrimientos para paredes y pisos en establecimientos especializados"
classification_4754,"4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
classification_4755,"4755","Comercio al por menor de artículos y utensilios de uso doméstico"
classification_4759,"4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados"
classification_4761,"4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados"
classification_4762,"4762","Comercio al por menor de artículos deportivos, en establecimientos especializados"
classification_4769,"4769","Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados"
classification_4771,"4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados"
classification_4772,"4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados."
